station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon	contractor	contact_number	parking_lat	parking_lon
adarsh nagar	AHNR	TRUE	TRUE	FALSE	0	0	0		29	77				
ashram	AHRM	FALSE	TRUE	FALSE	0	0	0		29	77				
aiims	AIIMS	FALSE	TRUE	FALSE	0	0	0		29	77				
arjan garh	AJG	TRUE	TRUE	TRUE	32	311	30	Near Gate No.1	28	77	M/s. Consortium of Rich Pal Singh & M/s Rich Pal Singh and Co.	9891327777	28	77
ashok park main	APMN	TRUE	TRUE	FALSE	0	0	0		29	77				
akshardham	ASDM	TRUE	TRUE	TRUE	40	150	120	Basement	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
arthala	ATHA	TRUE	TRUE	FALSE	0	0	0		29	77				
anand vihar isbt	AVIT	TRUE	TRUE	FALSE	0	0	0		29	77				
azadpur	AZU	TRUE	TRUE	TRUE	51	491	48	Near Gate Number-04	29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"	29	77
bata chowk	BACH	TRUE	TRUE	TRUE	10	250	20	Near Gate No. 3	28	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	28	77
badarpur border	BAPB	TRUE	TRUE	TRUE	143	1372	133	Near Gate No.1	28	77	Operated by DMRC.	8800793232		
botanical garden	BCGN	FALSE	TRUE	TRUE	20	750	175	Near Gate No. 3	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
haiderpur badli mor	BIMR	TRUE	TRUE	TRUE	57	552	54	Near Gate Number- 1 & 2	29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"		
bhikaji cama place	BKCP	FALSE	TRUE	FALSE	0	0	0		29	77				
badkal mor	BKMR	TRUE	TRUE	FALSE	0	0	0		28	77				
barakhamba road	BRKR	FALSE	TRUE	FALSE	0	0	0							
bahadurgarh city	BUSS	TRUE	TRUE	FALSE	0	0	0		29	77				
raja nahar singh (ballabhgarh)	BVHM	FALSE	TRUE	TRUE	100	200	150	Near Gate No. 2	28	77	M/s. V Inspirer Facility Management Pvt. Ltd.	9910803493	28	77
chirag delhi	CDLI	FALSE	TRUE	FALSE	0	0	0		29	77				
chandni chowk	CHK	FALSE	TRUE	FALSE	0	0	0		29	77				
chhatarpur	CHTP	TRUE	TRUE	TRUE	84	810	79	Near Gate No. 2	29	77	M/s. Rich Pal Singh.	9891327777	29	77
brig. hoshiar singh	CIPK	TRUE	TRUE	TRUE	54	517	50	Near Gate No. 2	29	77	M/s. Sanjeev Kumar.	9910719234	29	77
civil lines	CL	FALSE	TRUE	FALSE	0	0	0		29	77				
central secretariat	CTST	FALSE	TRUE	FALSE	0	0	0		29	77				
chawri bazar	CWBR	FALSE	TRUE	FALSE	0	0	0		29	77				
dabri mor - janakpuri south	DBMR	FALSE	TRUE	FALSE	0	0	0		29	77				
durgabai deshmukh south campus	DDSC	TRUE	TRUE	FALSE	0	0	0		29	77				
delhi cantt.	DLIC	TRUE	TRUE	FALSE	0	0	0		29	77				
delhi gate	DLIG	FALSE	TRUE	FALSE	0	0	0		29	77				
dwarka mor	DM	TRUE	TRUE	TRUE	48	464	45	Near Gate 01	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
dwarka mor	DM	TRUE	TRUE	TRUE	25	235	23	Near Gate 02	29	77	M/s. Lakhvinder Singh.	9711113313	29	77033418
dhansa bus stand	DNBT	TRUE	TRUE	TRUE	50	200	130	Underground	29	77	M/s ID TECH Solutions Pvt. Ltd.	9911752223		
dwarka sector - 11	DSE	TRUE	TRUE	TRUE	58	550	54	Near Gate 01 & 02	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
dwarka sector - 8	DSET	TRUE	TRUE	FALSE	0	0	0		29	77				
dwarka sector - 14	DSFN	TRUE	TRUE	TRUE	14	135	13	Near Gate 01	29	77	M/s. Hindustan Trading Co.	9891014005	29	77
dilshad garden	DSG	TRUE	TRUE	TRUE	10	300	100	Near Gate No 2	29	77	M/s. V Inspirer Facility Management Pvt. Ltd.	9910803493	28	77
dilshad garden	DSG	TRUE	TRUE	TRUE	0	350	0	Near Gate No 1	29	77	M/s. V Inspirer Facility Management Pvt. Ltd.	9910803493	28	77
dilshad garden	DSG	TRUE	TRUE	TRUE	0	0	100	Near Gate No 2	29	77	M/s. V Inspirer Facility Management Pvt. Ltd.	9910803493	28	77
dashrathpuri	DSHP	FALSE	TRUE	FALSE	0	0	0		29	77				
dwarka sector - 9	DSN	TRUE	TRUE	TRUE	140	1341	130	Near Gate 01	29	77	M/s. Manpreet Singh & Co.	9810187157	29	77
dwarka sector - 10	DST	TRUE	TRUE	FALSE	0	0	0		29	77				
dwarka sector - 13	DSTN	TRUE	TRUE	FALSE	0	0	0		29	77				
dwarka sector - 21	DSTO	FALSE	TRUE	TRUE	15	150	80	Outside Metro Station	29	77				
dwarka sector - 21	DSTO	FALSE	TRUE	TRUE	25	250	120	Outside Metro Station	29	77				
dwarka sector - 12	DSW	TRUE	TRUE	TRUE	20	50	100	Near to Gate 02	29	77				
dwarka	DW	TRUE	TRUE	TRUE	119	1143	111	Near Gate 02	29	77	M/s. Tun Tun Kumar Singh	9818572362		
east azad nagar	EANR	TRUE	TRUE	FALSE	0	0	0		29	77				
escorts mujesar	ECMJ	TRUE	TRUE	TRUE	10	200	15	Near Gate No. 2	28	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	28	77
escorts mujesar	ECMJ	TRUE	TRUE	TRUE	10	200	15	Near Gate No. 3	28	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	28	77
esi-basaidarapur	ESIH	TRUE	TRUE	FALSE	0	0	0		29	77				
govindpuri	GDPI	TRUE	TRUE	TRUE	107	1022	99	Near Gate No. 2	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
guru dronacharya	GE	TRUE	TRUE	TRUE	98	938	91	Near Gate No.1	28	77	M/s. Rich Pal Singh.	9891327777	28	77
golf course	GEC	TRUE	TRUE	FALSE	0	0	0		29	77				
ghevra metro station	GHEM	TRUE	TRUE	FALSE	0	0	0		29	77				
greater kailash	GKEI	FALSE	TRUE	FALSE	0	0	0		29	77				
gokulpuri	GKPR	TRUE	TRUE	FALSE	0	0	0		29	77				
green park	GNPK	FALSE	TRUE	TRUE	20	120	43	Near Gate No. 2	29	77				
guru teg bahadur nagar	GTBR	FALSE	TRUE	TRUE	74	714	69	Near Gate No. 5	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
ghitorni	GTNI	TRUE	TRUE	TRUE	103	985	96	Near Gate No.1	28	77	M/s. Consortium of Rich Pal Singh & M/s Rich Pal Singh and Co.	9891327777	28	77
millennium city centre gurugram	HCC	TRUE	TRUE	TRUE	318	3052	297	Near Gate No. 4	28	77			28	77
millennium city centre gurugram	HCC	TRUE	TRUE	TRUE	318	3052	297	Near Gate No. 3	28	77			28	77
hindon river	HDNR	TRUE	TRUE	TRUE	49	594	57	Near Gate No.1	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
hauz khas	HKS	FALSE	TRUE	TRUE	35	339	33	Near Gate No. 3	29	77	M/s. Rich Pal Singh.	9891327777	29	77
harkesh nagar okhla	HNOK	TRUE	TRUE	TRUE	97	930	90	Near Gate No. 3	29	77	M/s. V Inspirer Facility Management Pvt. Ltd.	9910803493	29	77
indraprastha	IDPT	TRUE	TRUE	TRUE	10	50	150	Near Gate No.1	29	77	Operated by DMRC	8800793166	29	77
iffco chowk	IFOC	TRUE	TRUE	TRUE	318	1198	116	Near Gate No. 2	28	77	M/s. Joginder Singh.	9910719234	28	77
terminal 1-igi airport	IGDA	FALSE	TRUE	FALSE	0	0	0		29	77				
iit	IIT	FALSE	TRUE	FALSE	0	0	0		29	77				
inderlok	ILOK	TRUE	TRUE	TRUE	164	1577	153	Near Gate No.1	29	77	M/s. Joginder Singh.	9910719234	29	77
dilli haat - ina	INA	FALSE	TRUE	FALSE	0	0	0		29	77				
i.p. extension	IPE	TRUE	TRUE	FALSE	0	0	0							
ito	ITO	FALSE	TRUE	FALSE	0	0	0		29	77				
sukhdev vihar	IWNR	TRUE	TRUE	FALSE	0	0	0		29	77				
jama masjid	JAMD	FALSE	TRUE	FALSE	0	0	0		29	77				
jamia milia islamiya	JANR	FALSE	TRUE	TRUE	50	476	46	Near Gate Number-03	29	77	M/s. Tara Singh.	9213224865	27	77
jor bagh	JB	FALSE	TRUE	FALSE	0	0	0							
jafrabad	JFRB	TRUE	TRUE	FALSE	0	0	0		29	77				
jangpura	JGPA	FALSE	TRUE	FALSE	0	0	0		29	77				
jahangirpuri	JGPI	TRUE	TRUE	TRUE	84	808	79	Near Gate No. 1 and 2	29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"	29	77
johri enclave	JIEE	TRUE	TRUE	FALSE	0	0	0		29	77				
jasola-apollo	JLA	TRUE	TRUE	TRUE	22	207	20	Near Gate Number-1	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
jasola vihar shaheen bagh	JLA8	FALSE	TRUE	TRUE	88	848	82	Near Gate Number-03	29	77	M/s. Tara Singh.	9213224865	29	77
jhilmil	JLML	TRUE	TRUE	TRUE	50	250	105	Near Gate Number-02	29	77			29	77
jln stadium	JLNS	FALSE	TRUE	FALSE	0	0	0							
janpath	JNPH	FALSE	TRUE	FALSE	0	0	0		29	77				
janak puri east	JPE	TRUE	TRUE	TRUE	76	731	71	Near Gate No. 02	29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"	29	77
janak puri west	JPW	TRUE	TRUE	FALSE	0	0	0		29	77				
jhandewalan	JW	TRUE	TRUE	FALSE	0	0	0		29	77				
karol bagh	KB	TRUE	TRUE	FALSE	0	0	0		29	77				
kohat enclave	KE	TRUE	TRUE	TRUE	25	150	200	Near Gate Number-1	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kohat enclave	KE	TRUE	TRUE	TRUE	15	100	30	Near Gate Number-2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-1	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-2	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-3	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-4	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
kailash colony	KHCY	TRUE	TRUE	FALSE	0	0	0		29	77				
krishna nagar	KHNA	FALSE	TRUE	FALSE	0	0	0		29	77				
kalindi kunj	KIKJ	FALSE	TRUE	TRUE	68	648	63		29	77	Operated by DMRC.	9205682376	29	77
kalkaji mandir	KJMD	FALSE	TRUE	TRUE	0	100	150	Near Gate Number-1	29	77	M/s. V Inspirer Facility Management Pvt. Ltd.	9910803493	29	77
karkarduma	KKDA	TRUE	TRUE	TRUE	35	400	200	Near Gate Number-2	29	77	M/s. Snepra Secure Services Pvt. Ltd	9650365860	29	77
karkarduma court	KKDC	TRUE	TRUE	FALSE	0	0	0		29	77				
khan market	KM	FALSE	TRUE	FALSE	0	0	0		29	77				
kanhaiya nagar	KN	TRUE	TRUE	TRUE	60	1200	400	Gate No. 1	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
kanhaiya nagar	KN	TRUE	TRUE	TRUE	20	90	25	Gate No. 4	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
kanhaiya nagar	KN	TRUE	TRUE	TRUE	30	100	30	Gate No. 3	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
kirti nagar	KNR	TRUE	TRUE	TRUE	58	578	154	Near Gate No. 1 (L-5)	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kirti nagar	KNR	TRUE	TRUE	TRUE	58	578	154	Near Gate No. 1 (L-3)	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
keshav puram	KP	TRUE	TRUE	TRUE	60	350	100	Gate No. 3	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kaushambi	KSHI	TRUE	TRUE	TRUE	20	250	100	Near Gate Number- 1	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kaushambi	KSHI	TRUE	TRUE	TRUE	20	250	100	Near Gate Number- 2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
lajpat nagar	LJPN	TRUE	TRUE	TRUE	10	40	75	Near Gate Number-1	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
lok kalyan marg	LKM	FALSE	TRUE	FALSE	0	0	0		29	77				
lal quila	LLQA	FALSE	TRUE	FALSE	0	0	0		29	77				
laxmi nagar	LN	TRUE	TRUE	FALSE	0	0	0		29	77				
madipur	MAPR	TRUE	TRUE	TRUE	104	997	97	Near Gate No.1	29	77	M/s. Manpreet Singh & Co.	9810187157	29	77
mandi house	MDHS	FALSE	TRUE	FALSE	0	0	0		29	77				
model town	MDTW	TRUE	TRUE	FALSE	0	0	0		29	77				
mohan estate	METE	TRUE	TRUE	TRUE	91	873	85	Near Gate No.1	29	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	29	77
m.g. road	MGRO	TRUE	TRUE	TRUE	35	338	33	Near Gate No.1	28	77	M/s. Joginder Singh.	9910719234	28	77
mundka industrial area (mia)	MIAA	TRUE	TRUE	FALSE	0	0	0		29	77				
pandit shree ram sharma	MIEE	TRUE	TRUE	TRUE	60	572	56	Near Gate No. 2	29	77	M/s. Sanjeev Kumar.	9910719234	29	77
munirka	MIRK	FALSE	TRUE	FALSE	0	0	0		29	77				
munirka	MIRK	FALSE	TRUE	FALSE	0	0	0		29	77				
majlis park	MKPR	TRUE	TRUE	TRUE	100	150	70	Near Gate No. 2	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
moolchand	MLCD	TRUE	TRUE	TRUE	32	304	30	Near Gate No. 1	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
mewala maharajpur	MMJR	TRUE	TRUE	TRUE	15	146	14	Near Gate No. 3	28	77	M/s. V Inspirer Facility Management Pvt. Ltd	9910803493	28	77
moti nagar	MN	TRUE	TRUE	TRUE	94	901	89	Near Gate 1	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
moti nagar	MN	TRUE	TRUE	TRUE	94	901	89	Near Gate 4	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
mohan nagar	MNGM	TRUE	TRUE	FALSE	0	0	0		29	77				
mansarovar park	MPK	TRUE	TRUE	TRUE	60	250	30	Near Gate 01 & 02			M/s. Hindustan Trading Co.	9891014005	29	77
mansarovar park	MPK	TRUE	TRUE	TRUE	60	250	30	Near Gate 01 & 02			M/s. Hindustan Trading Co.	9891014005	29	77
