station_name	station_code	elevated	toilet	gate_number	gate_location	divyang_friendly	parking_available	parking_cycle	parking_motorcycle	parking_car	lat	lon
noida city centre	NCC	TRUE	TRUE	gate no. 4	"sector 39, 41, 50 & 51"	FALSE	TRUE	50	220	90	28.574593	77.356117
noida city centre	NCC	TRUE	TRUE	gate no. 3	logix mall side	FALSE	TRUE	50	220	90	28.574593	77.356117
noida city centre	NCC	TRUE	TRUE	gate no. 2	"sector 39.41,50 & 51"	TRUE	TRUE	50	220	90	28.574593	77.356117
noida city centre	NCC	TRUE	TRUE	gate no. 1	dmrc parking side	TRUE	TRUE	50	220	90	28.574593	77.356117
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 4	"airport line , civic center"	FALSE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 3	kamla market	TRUE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 2	new delhi railway station	FALSE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 1	new delhi railway station	FALSE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 6 (airport express)	pathway connecting to new delhi railway station	TRUE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 5 (airport express)	new delhi railway station road	TRUE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 1 (airport express)	bhavbhuti marg	TRUE	TRUE	0	100	800	28.6434814	77.22275094
noida electronic city	NECC	TRUE	TRUE	gate no. 3	"highway tower, i-thumb tower, graphics tower, gol chakkar sect-62"	FALSE	TRUE	10	300	150	28.628685	77.375229
noida electronic city	NECC	TRUE	TRUE	gate no. 2	"sect-63, h-block noida, sbi, pnb,hdfc bank, haldiram restaurant, ginjer hotel, domino's"	TRUE	TRUE	10	300	150	28.628685	77.375229
noida electronic city	NECC	TRUE	TRUE	gate no. 1	near dmrc parking	TRUE	TRUE	10	300	150	28.628685	77.375229
												
												
												
nhpc chowk	NHPC	TRUE	TRUE	gate no. 3	motor 1 (luxury automotive workshop)	TRUE	TRUE	56	534	52	28.45773135	77.30736105
nhpc chowk	NHPC	TRUE	TRUE	gate no. 2	jiva ayurveda	TRUE	TRUE	56	534	52	28.45773135	77.30736105
nhpc chowk	NHPC	TRUE	TRUE	gate no. 1	kia motors	FALSE	TRUE	56	534	52	28.45773135	77.30736105
												
												
												
												
												
nangloi	NNOI	TRUE	TRUE	gate no. 2	"govt. sarvodya bal / kanya vidhalaya nangloi, govt girls sr. sec school nangloi"	FALSE	TRUE	254	2438	237	28.682356	77.064728
nangloi	NNOI	TRUE	TRUE	gate no. 1	"kirari mor, delhi police staff quarter"	TRUE	TRUE	254	2438	237	28.682356	77.064728
nehru place	NP	TRUE	TRUE	gate no. 2	"nehru place market, eros corporate tower"	TRUE	TRUE	134	1288	125	28.5514154	77.25174052
												
												
												
												
												
												
												
												
netaji subhash place	NSHP	TRUE	TRUE	gate no. 1	towards lots entry	TRUE	TRUE	50	200	80	28.69472868	77.15427959
netaji subhash place	NSHP	TRUE	TRUE	gate no. 2	towards service road	FALSE	TRUE	50	200	80	28.69472868	77.15427959
netaji subhash place	NSHP	TRUE	TRUE	gate no. 3	towards lots entry	FALSE	TRUE	50	200	80	28.69472868	77.15427959
netaji subhash place	NSHP	TRUE	TRUE	gate no. 2 (pink line)	d-mall	TRUE	TRUE	50	200	80	28.69472868	77.15427959
netaji subhash place	NSHP	TRUE	TRUE	gate no. 1 (pink line)	"towards punjab kesari, ring road"	TRUE	TRUE	50	200	80	28.69472868	77.15427959
												
												
												
												
												
												
												
												
												
												
												
												
												
												
nawada	NWD	TRUE	TRUE	gate no. 5	matiyala gaon	FALSE	TRUE	14	135	13	28.620222	77.044991
nawada	NWD	TRUE	TRUE	gate no. 4	matiyala gaon	FALSE	TRUE	14	135	13	28.620222	77.044991
nawada	NWD	TRUE	TRUE	gate no. 3	kiran garden	FALSE	TRUE	14	135	13	28.620222	77.044991
nawada	NWD	TRUE	TRUE	gate no. 2	nawada gaon	FALSE	TRUE	14	135	13	28.620222	77.044991
nawada	NWD	TRUE	TRUE	gate no. 1	shyam park	FALSE	TRUE	14	135	13	28.620222	77.044991
old faridabad	OFDB	TRUE	TRUE	gate no. 3	ef3 mall	TRUE	TRUE	15	250	100	28.412172	77.311272
old faridabad	OFDB	TRUE	TRUE	gate no. 2	main mathura road	FALSE	TRUE	15	250	100	28.412172	77.311272
old faridabad	OFDB	TRUE	TRUE	gate no. 1	sec 16 faridabad	TRUE	TRUE	15	250	100	28.412172	77.311272
												
												
												
												
												
												
peeragarhi	PAGI	TRUE	TRUE	gate no. 2	udyog nagar industrial area	FALSE	TRUE	54	516	50	28.67972	77.092491
peeragarhi	PAGI	TRUE	TRUE	gate no. 1	ekta enclave 	TRUE	TRUE	54	516	50	28.67972	77.092491
												
												
												
punjabi bagh	PBGA	TRUE	TRUE	gate no. 2	"punjabi bagh transport nagar, post office, power house"	TRUE	TRUE	64	615	60	28.672943	77.146011
punjabi bagh	PBGA	TRUE	TRUE	gate no. 1	"punjabi bagh railway colony, jaidev park, bhagwan das nagar"	TRUE	TRUE	64	615	60	28.672943	77.146011
pulbangash	PBGH	TRUE	TRUE	gate no. 1	towards roshanara road 	TRUE	TRUE	25	77	250	28.66640645	77.20742477
												
												
patel nagar	PN	TRUE	TRUE	gate no. 6	kailash nursing home	FALSE	TRUE	31	297	29	28.645035	77.16935242
patel nagar	PN	TRUE	TRUE	gate no. 5	near parking	TRUE	TRUE	31	297	29	28.645035	77.16935242
patel nagar	PN	TRUE	TRUE	gate no. 4	"shivaji marg, najafgarh road"	FALSE	TRUE	31	297	29	28.645035	77.16935242
patel nagar	PN	TRUE	TRUE	gate no. 3	domino's	FALSE	TRUE	31	297	29	28.645035	77.16935242
patel nagar	PN	TRUE	TRUE	gate no. 2	"shivaji marg, najafgarh road"	TRUE	TRUE	31	297	29	28.645035	77.16935242
patel nagar	PN	TRUE	TRUE	gate no. 1	idfc first bank	FALSE	TRUE	31	297	29	28.645035	77.16935242
pratap nagar	PRA	TRUE	TRUE	gate no. 1	towards kishanganj railway station 	FALSE	TRUE	15	70	130	28.66670769	77.19888996
pratap nagar	PRA	TRUE	TRUE	gate no. 2	towards sabzi mandi railway station 	TRUE	TRUE	15	70	130	28.66670769	77.19888996
												
												
												
patel chowk	PTCK	FALSE	TRUE	gate no. 3	"dak bhawan, sanchar bhawan,niti bhawan"	FALSE	TRUE	79	760	73	28.6233955	77.21450189
patel chowk	PTCK	FALSE	TRUE	gate no. 3	"dak bhawan, sanchar bhawan,niti bhawan"	FALSE	TRUE	91	876	85	28.6233955	77.21450189
patel chowk	PTCK	FALSE	TRUE	gate no. 3	"dak bhawan, sanchar bhawan,niti bhawan"	FALSE	TRUE	49	477	46	28.6233955	77.21450189
patel chowk	PTCK	FALSE	TRUE	gate no. 2	"jantar mantar, state bank of india"	TRUE	TRUE	79	760	73	28.6233955	77.21450189
patel chowk	PTCK	FALSE	TRUE	gate no. 2	"jantar mantar, state bank of india"	TRUE	TRUE	91	876	85	28.6233955	77.21450189
patel chowk	PTCK	FALSE	TRUE	gate no. 2	"jantar mantar, state bank of india"	TRUE	TRUE	49	477	46	28.6233955	77.21450189
patel chowk	PTCK	FALSE	TRUE	gate no. 1	jeevan tara building	TRUE	TRUE	79	760	73	28.6233955	77.21450189
patel chowk	PTCK	FALSE	TRUE	gate no. 1	jeevan tara building	TRUE	TRUE	91	876	85	28.6233955	77.21450189
patel chowk	PTCK	FALSE	TRUE	gate no. 1	jeevan tara building	TRUE	TRUE	49	477	46	28.6233955	77.21450189
supreme court	PTMD	TRUE	TRUE	gate no. 4	skywalk	TRUE	TRUE	20	60	30	28.623438	77.2425
supreme court	PTMD	TRUE	TRUE	gate no. 3	itpo gate no-10	FALSE	TRUE	20	60	30	28.623438	77.2425
supreme court	PTMD	TRUE	TRUE	gate no. 2	mathura road	TRUE	TRUE	20	60	30	28.623438	77.2425
supreme court	PTMD	TRUE	TRUE	gate no. 1	supreme court	FALSE	TRUE	20	60	30	28.623438	77.2425
												
												
												
												
												
												
												
												
paschim vihar east	PVE	TRUE	TRUE	gate no. 2	ordnance depot	FALSE	TRUE	30	291	28	28.677305	77.112251
paschim vihar east	PVE	TRUE	TRUE	gate no. 1	bharti vidyapeeth college	TRUE	TRUE	30	291	28	28.677305	77.112251
												
												
qutab minar	QM	TRUE	TRUE	gate no. 2	anuvart marg	TRUE	TRUE	49	471	46	28.51294868	77.18644648
qutab minar	QM	TRUE	TRUE	gate no. 1	anuvart marg	TRUE	TRUE	49	471	46	28.51294868	77.18644648
rajiv chowk	RCK	FALSE	TRUE	gate no. 8	"radial road-3, panchkuian road , a block"	TRUE	TRUE	0	600	1500	28.63271384	77.21931251
rajiv chowk	RCK	FALSE	TRUE	gate no. 7	"radial road -2, baba kharak singh marg , a block"	TRUE	TRUE	0	600	1500	28.63271384	77.21931251
rajiv chowk	RCK	FALSE	TRUE	gate no. 6	"radial road-1, janpath road,palika bazar"	FALSE	TRUE	0	600	1500	28.63271384	77.21931251
rajiv chowk	RCK	FALSE	TRUE	gate no. 5	"radial road-1, janpath road, f block"	FALSE	TRUE	0	600	1500	28.63271384	77.21931251
rajiv chowk	RCK	FALSE	TRUE	gate no. 4	"e block, barakhamba road, kasturba gandhi road"	FALSE	TRUE	0	600	1500	28.63271384	77.21931251
rajiv chowk	RCK	FALSE	TRUE	gate no. 3	"d block, carnival cinema(odean)"	FALSE	TRUE	0	600	1500	28.63271384	77.21931251
rajiv chowk	RCK	FALSE	TRUE	gate no. 2	", pvr plaza"	TRUE	TRUE	0	600	1500	28.63271384	77.21931251
rajiv chowk	RCK	FALSE	TRUE	gate no. 1	"radial road-3, panchkuian road , b block, minto road"	TRUE	TRUE	0	600	1500	28.63271384	77.21931251
												
												
rajouri garden	RG	TRUE	TRUE	gate no. 2	rajouri garden	TRUE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 1	rajouri garden	TRUE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 8	"janta market, rajouri"	FALSE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 7	nazafgarh road	FALSE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 6	nazafgarh road	FALSE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 5	nazafgarh road	FALSE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 4	tdi mall	FALSE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 3	towards parking	FALSE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 2 (pink line)	dc office	FALSE	TRUE	35	334	32	28.6512021	77.12427115
rajouri garden	RG	TRUE	TRUE	gate no. 1 (pink line)	ring road	TRUE	TRUE	35	334	32	28.6512021	77.12427115
rohini east	RHE	TRUE	TRUE	gate no. 3	"sec.9, rohini court, fire station"	TRUE	TRUE	20	200	120	28.707941	77.125732
rohini east	RHE	TRUE	TRUE	gate no. 3	"sec.9, rohini court, fire station"	TRUE	TRUE	4	50	5	28.707941	77.125732
rohini east	RHE	TRUE	TRUE	gate no. 2	sec.7 & 8 rohini	FALSE	TRUE	20	200	120	28.707941	77.125732
rohini east	RHE	TRUE	TRUE	gate no. 2	sec.7 & 8 rohini	FALSE	TRUE	4	50	5	28.707941	77.125732
rohini east	RHE	TRUE	TRUE	gate no. 1	sec.7 & 8 rohini	FALSE	TRUE	20	200	120	28.707941	77.125732
rohini east	RHE	TRUE	TRUE	gate no. 1	sec.7 & 8 rohini	FALSE	TRUE	4	50	5	28.707941	77.125732
												
												
												
rithala	RI	TRUE	TRUE	gate no. 3	towards sec-11  rohini	TRUE	TRUE	125	1198	116	28.72080395	77.10718988
rithala	RI	TRUE	TRUE	gate no. 2	towards sec-24  rohini	FALSE	TRUE	125	1198	116	28.72080395	77.10718988
rithala	RI	TRUE	TRUE	gate no. 1	towards sec-5  rohini	FALSE	TRUE	125	1198	116	28.72080395	77.10718988
"rohini sector - 18, 19"	RISE	TRUE	TRUE	gate no. 2	paradise apartments	TRUE	TRUE	82	791	77	28.73838768	77.13990896
"rohini sector - 18, 19"	RISE	TRUE	TRUE	gate no. 1	divyajyoti apartments	TRUE	TRUE	82	791	77	28.73838768	77.13990896
												
												
												
												
ramakrishna ashram marg	RKAM	TRUE	TRUE	gate no. 5	parking	FALSE	TRUE	52	497	48	28.63922536	77.20856768
ramakrishna ashram marg	RKAM	TRUE	TRUE	gate no. 4	lady harding hospital	FALSE	TRUE	52	497	48	28.63922536	77.20856768
ramakrishna ashram marg	RKAM	TRUE	TRUE	gate no. 3	goal market	FALSE	TRUE	52	497	48	28.63922536	77.20856768
ramakrishna ashram marg	RKAM	TRUE	TRUE	gate no. 2	"rama krishan mission, new delhi railway station, paharganj"	FALSE	TRUE	52	497	48	28.63922536	77.20856768
ramakrishna ashram marg	RKAM	TRUE	TRUE	gate no. 1	"panchkuian road, chitragupta road, sadar bazaar"	TRUE	TRUE	52	497	48	28.63922536	77.20856768
												
												
												
												
												
ramesh nagar	RN	TRUE	TRUE	gate no. 5	ramesh nagar	FALSE	TRUE	63	602	59	28.652809	77.131462
ramesh nagar	RN	TRUE	TRUE	gate no. 4	namdhari colony	FALSE	TRUE	63	602	59	28.652809	77.131462
ramesh nagar	RN	TRUE	TRUE	gate no. 3	raja garden	FALSE	TRUE	63	602	59	28.652809	77.131462
ramesh nagar	RN	TRUE	TRUE	gate no. 2	basai darapur	TRUE	TRUE	63	602	59	28.652809	77.131462
ramesh nagar	RN	TRUE	TRUE	gate no. 1	bali nagar	TRUE	TRUE	63	602	59	28.652809	77.131462
rajendra place	RP	TRUE	TRUE	gate no. 4	krishi kunj	FALSE	TRUE	32	305	30	28.64252098	77.17832235
rajendra place	RP	TRUE	TRUE	gate no. 3	old rajender nagar	FALSE	TRUE	32	305	30	28.64252098	77.17832235
rajendra place	RP	TRUE	TRUE	gate no. 2	blk hospital	FALSE	TRUE	32	305	30	28.64252098	77.17832235
rajendra place	RP	TRUE	TRUE	gate no. 1	rajendra bhawan	FALSE	TRUE	32	305	30	28.64252098	77.17832235
												
												
												
												
saket	SAKT	FALSE	TRUE	gate no. 3	"cisf camp,saket d block"	FALSE	TRUE	85	812	79	28.52117387	77.20227044
saket	SAKT	FALSE	TRUE	gate no. 2	garden of five senses	TRUE	TRUE	85	812	79	28.52117387	77.20227044
saket	SAKT	FALSE	TRUE	gate no. 1	vidya niketan	TRUE	TRUE	85	812	79	28.52117387	77.20227044
												
												
												
												
												
shahdara	SHD	TRUE	TRUE	gate no. 1	"west end (facing gt road), parsavnath mall, vikas cinema mall"	TRUE	TRUE	163	1569	150	28.67345713	77.28988398
shahdara	SHD	TRUE	TRUE	gate no. 2	east end (indian railways side)	FALSE	TRUE	163	1569	150	28.67345713	77.28988398
shaheed nagar	SHDN	TRUE	TRUE	gate no. 1	opp. shani dev mandir	TRUE	TRUE	74	714	69	28.676615	77.333809
shaheed nagar	SHDN	TRUE	TRUE	gate no. 2	near shani dev mandir	TRUE	TRUE	74	714	69	28.676615	77.333809
shastri park	SHPK	FALSE	TRUE	gate no. 1	towards gandhi nagar market	TRUE	TRUE	50	250	0	28.668451	77.250404
shastri park	SHPK	FALSE	TRUE	gate no. 1	towards gandhi nagar market	TRUE	TRUE	0	0	55	28.668451	77.250404
shastri park	SHPK	FALSE	TRUE	gate no. 2	towards it park	FALSE	TRUE	50	250	0	28.668451	77.250404
shastri park	SHPK	FALSE	TRUE	gate no. 2	towards it park	FALSE	TRUE	0	0	55	28.668451	77.250404
shastri nagar	SHT	TRUE	TRUE	gate no. 1	towards sarai rohilla railway station	FALSE	TRUE	9	70	60	28.670135	77.181679
shastri nagar	SHT	TRUE	TRUE	gate no. 1	towards sarai rohilla railway station	FALSE	TRUE	10	20	110	28.670135	77.181679
shastri nagar	SHT	TRUE	TRUE	gate no. 2	towards shastri nagar market	TRUE	TRUE	9	70	60	28.670135	77.181679
shastri nagar	SHT	TRUE	TRUE	gate no. 2	towards shastri nagar market	TRUE	TRUE	10	20	110	28.670135	77.181679
												
												
sikanderpur	SKRP	FALSE	TRUE	gate no. 6 (rapid metro)	emaar bussiness park side	TRUE	TRUE	45	432	42	28.48127214	77.09299601
sikanderpur	SKRP	FALSE	TRUE	gate no. 5 (rapid metro)	emaar bussiness park side	TRUE	TRUE	45	432	42	28.48127214	77.09299601
sikanderpur	SKRP	FALSE	TRUE	gate no. 4 (rapid metro)	sikanderpur main road	TRUE	TRUE	45	432	42	28.48127214	77.09299601
sikanderpur	SKRP	FALSE	TRUE	gate no. 3 (rapid metro)	sikanderpur main road	TRUE	TRUE	45	432	42	28.48127214	77.09299601
sikanderpur	SKRP	FALSE	TRUE	gate no. 2 (rapid metro)	sikanderpur village side	TRUE	TRUE	45	432	42	28.48127214	77.09299601
sikanderpur	SKRP	FALSE	TRUE	gate no. 2	dlf city court	FALSE	TRUE	45	432	42	28.48127214	77.09299601
sikanderpur	SKRP	FALSE	TRUE	gate no. 1	"sahara mall,bristal hotel"	TRUE	TRUE	45	432	42	28.48127214	77.09299601
												
												
seelampur	SLAP	TRUE	FALSE	gate no. 1	towards gt road	TRUE	TRUE	90	900	200	28.66979065	77.26679222
												
												
												
												
												
												
												
												
												
												
												
												
subhash nagar	SN	TRUE	TRUE	gate no. 4	"police station, station nagar"	FALSE	TRUE	27	255	25	28.64046358	77.10519523
subhash nagar	SN	TRUE	TRUE	gate no. 3	meenakshi garden	FALSE	TRUE	27	255	25	28.64046358	77.10519523
subhash nagar	SN	TRUE	TRUE	gate no. 2	pacific mall	TRUE	TRUE	27	255	25	28.64046358	77.10519523
subhash nagar	SN	TRUE	TRUE	gate no. 1	"sbi, tilak nagar"	TRUE	TRUE	27	255	25	28.64046358	77.10519523
												
												
												
												
												
												
shadipur	SP	TRUE	TRUE	gate no. 7	towards parking	FALSE	TRUE	95	911	89	28.65165403	77.1583193
shadipur	SP	TRUE	TRUE	gate no. 6	pandav nagar	FALSE	TRUE	95	911	89	28.65165403	77.1583193
shadipur	SP	TRUE	TRUE	gate no. 5	ranjeet nagar	FALSE	TRUE	95	911	89	28.65165403	77.1583193
shadipur	SP	TRUE	TRUE	gate no. 4	patel nagar	TRUE	TRUE	95	911	89	28.65165403	77.1583193
shadipur	SP	TRUE	TRUE	gate no. 3	patel nagar police station	TRUE	TRUE	95	911	89	28.65165403	77.1583193
shadipur	SP	TRUE	TRUE	gate no. 2	baljeet nagar	TRUE	TRUE	95	911	89	28.65165403	77.1583193
shadipur	SP	TRUE	TRUE	gate no. 1	towards dms depot & dtc bus depot	TRUE	TRUE	95	911	89	28.65165403	77.1583193
												
												
sarai	SRAI	TRUE	TRUE	gate no. 3	near crown interiorz mall	TRUE	TRUE	25	240	23	28.47794	77.304932
sarai	SRAI	TRUE	TRUE	gate no. 2	l&t	TRUE	TRUE	25	240	23	28.47794	77.304932
sarai	SRAI	TRUE	TRUE	gate no. 1	vatika towers	FALSE	TRUE	25	240	23	28.47794	77.304932
												
												
												
												
												
												
												
sarita vihar	STVR	TRUE	TRUE	gate no. 2	sarita vihar residential area	TRUE	TRUE	70	667	65	28.528622	77.288345
sarita vihar	STVR	TRUE	TRUE	gate no. 1	vodafone office	TRUE	TRUE	70	667	65	28.528622	77.288345
												
												
												
												
												
tagore garden	TG	TRUE	TRUE	gate no. 4	"j-block rajori garden,green flats"	TRUE	TRUE	36	343	33	28.643795	77.112747
tagore garden	TG	TRUE	TRUE	gate no. 3	"cambridge school, dda flats"	TRUE	TRUE	36	343	33	28.643795	77.112747
tagore garden	TG	TRUE	TRUE	gate no. 2	guru govind singh hospital	FALSE	TRUE	36	343	33	28.643795	77.112747
tagore garden	TG	TRUE	TRUE	gate no. 1	"kendriya vidyalaya , khyala"	FALSE	TRUE	36	343	33	28.643795	77.112747
												
												
												
												
												
												
												
tilak nagar	TN	TRUE	TRUE	gate no. 4	"prem nagar, dmrc authorised parking"	FALSE	TRUE	12	111	11	28.636568	77.096336
tilak nagar	TN	TRUE	TRUE	gate no. 3	"ashok nagar, fateh nagar, jail road"	TRUE	TRUE	12	111	11	28.636568	77.096336
tilak nagar	TN	TRUE	TRUE	gate no. 2	"saatmanjila temple, central market"	FALSE	TRUE	12	111	11	28.636568	77.096336
tilak nagar	TN	TRUE	TRUE	gate no. 1	central market	FALSE	TRUE	12	111	11	28.636568	77.096336
tis hazari	TZI	TRUE	TRUE	gate no. 1	"towards st. stephen hospital , tis hazari court, sadar bazar, dept. of animal husbandary"	TRUE	TRUE	50	200	150	28.667137	77.216721
tis hazari	TZI	TRUE	TRUE	gate no. 2	"towards lala hardev sahai marg , st. stephen hospital , tis hazari court, sadar bazar"	TRUE	TRUE	50	200	150	28.667137	77.216721
tis hazari	TZI	TRUE	TRUE	gate no. 3	"towards metro parking, lt. governor secretariat, aruna asaf ali hospital, rajpur road, boulevard road"	TRUE	TRUE	50	200	150	28.667137	77.216721
												
												
												
												
uttam nagar east	UNE	TRUE	TRUE	gate no. 3	pankha road	FALSE	TRUE	105	953	120	28.62482697	77.06527336
uttam nagar east	UNE	TRUE	TRUE	gate no. 2	pankha road	TRUE	TRUE	105	953	120	28.62482697	77.06527336
uttam nagar east	UNE	TRUE	TRUE	gate no. 1	towards dtc bus terminal	TRUE	TRUE	105	953	120	28.62482697	77.06527336
udyog nagar	UNRG	TRUE	TRUE	gate no. 2	udyog nagar industrial area	TRUE	TRUE	87	836	81	28.68110033	77.08085216
udyog nagar	UNRG	TRUE	TRUE	gate no. 1	jwala puri /inder enclave	FALSE	TRUE	87	836	81	28.68110033	77.08085216
uttam nagar west	UNW	TRUE	TRUE	gate no. 4	aarya samaj	TRUE	TRUE	40	385	37	28.621672	77.055664
uttam nagar west	UNW	TRUE	TRUE	gate no. 3	dyalsar road	TRUE	TRUE	40	385	37	28.621672	77.055664
uttam nagar west	UNW	TRUE	TRUE	gate no. 2	dal mil road	FALSE	TRUE	40	385	37	28.621672	77.055664
uttam nagar west	UNW	TRUE	TRUE	gate no. 1	dal mil road	FALSE	TRUE	40	385	37	28.621672	77.055664
vaishali	VASI	TRUE	TRUE	gate no. 3	todards fob	TRUE	TRUE	20	450	0	28.650059	77.337608
vaishali	VASI	TRUE	TRUE	gate no. 2	"towards vaishali sector 3,4"	TRUE	TRUE	20	450	0	28.650059	77.337608
vaishali	VASI	TRUE	TRUE	gate no. 1	towards mohan nagar anand vihar road	TRUE	TRUE	20	450	0	28.650059	77.337608
												
												
												
vinobapuri	VNPR	FALSE	TRUE	gate no. 2	sriniwas puri	FALSE	TRUE	0	0	0	28.56587095	77.24930055
vinobapuri	VNPR	FALSE	TRUE	gate no. 1	lajpat nagar - ii	TRUE	TRUE	0	0	0	28.56587095	77.24930055
												
												
												
vasant vihar	VTVR	FALSE	TRUE	gate no. 4	jharkhand bhawan embassy of el salvador	TRUE	TRUE	148	1424	138	28.55780945	77.16113035
vasant vihar	VTVR	FALSE	TRUE	gate no. 3	" embassy of togo, vasant  lok market"	FALSE	TRUE	148	1424	138	28.55780945	77.16113035
vasant vihar	VTVR	FALSE	TRUE	gate no. 2	munirka marg	TRUE	TRUE	148	1424	138	28.55780945	77.16113035
vasant vihar	VTVR	FALSE	TRUE	gate no. 1	gurudwara	FALSE	TRUE	148	1424	138	28.55780945	77.16113035
viswavidyalaya	VW	FALSE	TRUE	gate no. 4	delhi university	TRUE	TRUE	126	1214	118	28.69503925	77.21472094
viswavidyalaya	VW	FALSE	TRUE	gate no. 3	delhi university	TRUE	TRUE	126	1214	118	28.69503925	77.21472094
viswavidyalaya	VW	FALSE	TRUE	gate no. 2	timarpur	TRUE	TRUE	126	1214	118	28.69503925	77.21472094
viswavidyalaya	VW	FALSE	TRUE	gate no. 1	riviera apartments	TRUE	TRUE	126	1214	118	28.69503925	77.21472094
welcome	WC	TRUE	TRUE	gate no. 1	towards gt road	TRUE	TRUE	100	800	150	28.67237462	77.27708057
welcome	WC	TRUE	TRUE	gate no. 2 (pink line)	towards gt road	TRUE	TRUE	100	800	150	28.67237462	77.27708057
yamuna bank	YB	FALSE	TRUE	gate no. 1	station approch road	TRUE	TRUE	40	150	130	28.623178	77.267937